Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Количество уровней,Потребляемая мощность,Загрузка камеры,Тип гастроемкости
https://cdn.entero.ru/mp@2x/68/27/682759b80f4e2293ac8a156f603e6af5.jpg,Камера мясная для запекания ТвЗПО Агро-Терм М10Э,agro-term M10E,0,RUB,Нет,ТвЗПО,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/84706,"<p>Камера мясная для запекания <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84706""><b class=""b"">ТвЗПО Агро-Терм М10Э</b></a> используется на предприятиях общественного питания и торговли для термической обработки мясных изделий, т.е. окрашивания, сушки, варки и запекания в одном цикле. Получение равномерного запекания достигается за счет дискретного распределения воздушного потока группой шиберов и вращением тележки. Модель оснащена электронной панелью управления. Корпус и все детали выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Внутренняя рабочая камера</li>
<li>Системы нагрева, циркуляции и распределения воздуха, обеспечивающие равномерное распределение тепла и жидкого дыма по всему объему рабочей камеры</li>
<li>Механизм вращения стеллажной тележки, включающий поворотный стол с приводом</li>
<li>вращения</li>
<li>Система подвода и распределения воды для создания необходимой влажности в рабочей камере</li>
<li>Система обмыва камеры и теплового блока</li>
<li>Система подготовки и распределения сжатого воздуха</li>
<li>Шкаф силового электрооборудования </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Электрообогрев</li>
<li>Двухскоротной вентилятор для циркуляции воздуха</li>
<li>Контроль влажности внутри камер</li>
<li>Контроль температуры внутри камер и в сердцевине продукта</li>
<li>Автоматическая система понижения температуры</li>
<li>Возможность мойки водой внутренней поверхности камер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура:
<ul>
<li>Рабочая в камере для запекания: 195 °С</li>
<li>Кратковременная в камере для выпекания: 200 °С</li>
</ul>
</li>
<li>Время разогрева незагруженной камеры: 30 мин.</li>
<li>Максимальный расход воды за 1 цикл пароувлажнения: 30 л</li>
<li>Минимальное давление воды: 0,3 МПа</li>
<li>Минимальное давление сжатого воздуха: 0,3 МПа</li>
<li>Габариты тележки PM04: 1027x1000x1947 мм</li>
<li>Максимальный вес тележки с поддонами: 520 кг</li>
<li>Габариты в упаковке:**
<ul>
<li>1000x2500x2250 мм</li>
<li>1260x2650x2150 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Функция копчения жидким дымом</li>
</ul>

<p><br>
<em>* Значение параметра приведено для тележки РМ04 со стандартными поддонами.</em></p>

<p><em>** Оборудование поставляется в разобранном виде в 2 ящиках.</em></p>",84706,печь-коптильня,200 °С,380 В,,2250 мм,1948 мм,2764 мм,,Россия,,,0,https://entero.ru/manuals/61336/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B2%D0%97%D0%9F%D0%9E%20%D0%90%D0%B3%D1%80%D0%BE-%D0%A2%D0%B5%D1%80%D0%BC%20%D0%9C10%D0%AD.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239489&hd=2&autoplay=0,1500 кг,для горячего копчения,,64 кВт,420 кг,
https://cdn.entero.ru/mp@2x/cf/aa/cfaad3b1977d9cc86ff4cca0dd680ce5.jpg,Печь-коптильня RoboLabs BIG SMAK,50517,0,RUB,Нет,RoboLabs,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/50611,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/50611"">RoboLabs BIG SMAK</a></b> оборудована 4 колесами, механическим таймером (до 12 часов), терморегулятором и съемным жиросборником из нержавеющей стали. Решетки устанавливаются на расстоянии 150 мм друг от друга по высоте. Корпус прибора выполнен полностью из нержавеющей стали.</p>

<p>Для копчения можно использовать любые породы твердой древесины фруктовых деревьев или ореха, а также дуб и ольху.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Герметизация двери достигается за счёт использования термостойкого уплотнителя</li>
<li>Изоляционный материал по бокам и сверху уменьшает нагревание внешней поверхности</li>
</ul>",50611,печь-коптильня,50 °С,220 В,1.6 кВт,570 мм,570 мм,1250 мм,,Россия,,,0,https://entero.ru/manuals/21505/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20BIG%20SMAK.pdf;https://entero.ru/manuals/417263/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,75 кг,для горячего копчения,5,,36 кг,430х430 мм
https://cdn.entero.ru/mp@2x/ba/4e/ba4e8e7284edab72d3bb0f1ae1d5959e.jpg,Камера коптильная Россия КТД-50 нерж. сталь с холодильным агрегатом,Камера коптильная Россия КТД-50 нерж. сталь с холодильным агрегатом,903458,RUB,Нет,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/298403,"<p>Коптильная камера<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/298403""><b class=""b""> КТД-50 </b></a> используется на предприятиях общественного питания и торговли для горячего и холодного копчения мяса, рыб и птицы. Модель оснащена холодильным агрегатом и системой очистки дыма. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы подсушки, обжарки, варки и копчения</li>
<li>Полуавтоматическая мойка внутреннего объема, дымогенератора и трубопроводов</li>
<li>Контроль температуры внутри камеры, температуры продукта, влажности и времени работы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура в камере с холодильным агрегатом: от 18 до 130°C</li>
</ul>",298403,дымогенератор,от 40 до 130 °С,220 В,6.1 кВт,950 мм,1070 мм,1950 мм,,Россия,,,0,,951008,,420 кг,"для горячего копчения, для холодного копчения",,,50 кг,
https://cdn.entero.ru/mp@2x/67/02/67029b247c696f5b52ac4caa03d13728.jpg;https://cdn.entero.ru/mp@2x/a7/68/a768eb192fe59ceb8383fcf0061cc1ef.jpg;https://cdn.entero.ru/mp@2x/4e/c0/4ec04c7461d6a86f323c1af09b6d50b2.jpg;https://cdn.entero.ru/mp@2x/e3/27/e3279eae0fd758702a606f062a0d0bd2.jpg;https://cdn.entero.ru/mp@2x/a6/a4/a6a421c1660edf3748b1839dab14e820.jpg;https://cdn.entero.ru/mp@2x/86/76/8676c09adac9e35dbc9423c154cb3ecb.jpg;https://cdn.entero.ru/mp@2x/58/99/58991eca5db6f4e8cb0a4abb95fdf219.jpg;https://cdn.entero.ru/mp@2x/fa/a0/faa0705bc55f12de5fe9202d738465d9.jpg,Коптильня Kocateq DSHS04,DSH S04,46626,RUB,Нет,Kocateq,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/59104,"<p>Коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59104"">Kocateq DSHS04</a></b> используется на предприятиях общественного питания и торговли для горячего копчения мясных и рыбных продуктов. Модель оснащена механической панелью управления на боковой стороне для регулировки температуры и времени копчения до 120 минут. Дверь, защелки, корпус выполнен из нержавеющей стали AISI 304, дверная прокладка - из силикона.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>4 решетчатые полки 390х320 мм</li>
<li>Лоток и емкость для стекания и сбора жира </li>
<li>Г-образная дымоходная труба с шибером</li>
<li>4 крючка для подвешивания продуктов</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Термометр, установленный на двери, показывает температуру воздуха в камере</li>
<li>2 режима мощности работы дымогенератора</li>
<li>Герметичная дверная прокладка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность работы дымогенератора: 0,5 / 1 кВт</li>
<li>Размер камеры: 400х340х450 мм</li>
<li>Расстояние между направляющими: 90 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото модель DSHS03/04.</span></em></p>",59104,печь-коптильня,от 37 до 135 °С,220 В,1 кВт,490 мм,400 мм,940 мм,,Ю. Корея,,,0,https://entero.ru/manuals/114615/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DSHS04.pdf;https://entero.ru/manuals/111125/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,49602,,,для горячего копчения,4,,,390х320 мм
https://cdn.entero.ru/mp@2x/ca/1c/ca1c295444bb42db9b878b1b926f0055.jpg;https://cdn.entero.ru/mp@2x/43/4d/434d29e60f44c44e544ed9a38c8eb1bd.jpg,Термокамера универсальная Ижица UNI-100,uni100,1090000,RUB,Нет,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/342580,"<p>Универсальная термокамера <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/342580""><b class=""b"">Ижица UNI-100</b></a> предназначена для горячего и холодного копчения мяса, рыбы, птицы, сала и сыра в коптильных цехах, в фермерских хозяйствах, на предприятиях общественного питания и торговли. Модель оснащена щеповым дымогенератором из нержавеющей стали и сенсорной панелью управления. Внутренний объем камеры выполнен из нержавеющей стали, петли и запорные механизмы - из нержавеющей стали с большим запасом прочности, уплотнение двери - из термостойкого силикона.</p>

<p><b>Комплектация: </b></p>

<ul>
<li>Дополнительная кассета дымогенератора</li>
<li>Рама из нержавеющей стали для развески продукции</li>
<li>Комплект вешал (700 мм, 24 шт.)</li>
<li>Комплект крючков (64 шт.)</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы работы:
<ul>
<li>Копчение (горячее / холодное)</li>
<li>Варка</li>
<li>Запекание</li>
<li>Жарка</li>
<li>Сушка</li>
<li>Проветривание</li>
</ul>
</li>
<li>Степень автоматизации: полуавтомат</li>
<li>Интуитивно понятный интерфейс</li>
<li>Возможность создания 99 программ по 99 шагов</li>
<li>Плавная регулировка:
<ul>
<li>Температуры</li>
<li>Влажности</li>
<li>Скорости воздушного потока</li>
</ul>
</li>
<li>ТЭНы из нержавеющей стали, расположенные вдоль стенок камеры, обеспечивают равномерный прогрев сырья</li>
<li>Встроенный холодильный агрегат</li>
<li>Быстрый набор влажности снижает потери веса продуктов и увеличивает скорость приготовления</li>
<li>Система очистки дыма - лабиринтное устройство, в котором дым дважды проходит вверх-вниз, контактируя с водяным зеркалом, поглощающим вредные продукты пиролиза древесины</li>
<li>Ручная заслонка для регуляции потока дыма и его температуры</li>
<li>Высокая плотность дымовой среды с равномерным распределением между слоями / рядами продуктов</li>
<li>Полностью герметичный внутренний объем </li>
<li>Температурные датчики с платиновыми сердечниками выдерживают любые температурные пороги</li>
<li>Длительный срок службы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Среднее время полного приготовления продукта: 2,5 ч</li>
<li>Средняя производительность:
<ul>
<li>Смена 8 ч: 200 кг</li>
<li>Смена 12 ч: 300 кг</li>
<li>Смена 24 ч: 600 кг</li>
</ul>
</li>
<li>Толщина стали дымогенератора: 1,5 мм</li>
<li>Расход щепы на 1 загрузку: 0,4 кг</li>
<li>Мощность ТЭНов: 9 кВт</li>
<li>Средняя потребляемая мощность: 4 кВт*ч</li>
<li>Габариты закатной рамы: 760х708х1250 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вытяжной зонт</li>
<li>Решетки 700х700 мм с ячейкой 30 мм</li>
<li>Вентилятор дымоудаления</li>
</ul>",342580,печь-коптильня,,380 В,11 кВт,1240 мм,1200 мм,2000 мм,,Россия,,,0,https://entero.ru/manuals/410114/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%98%D0%B6%D0%B8%D1%86%D0%B0%20UNI-100.pdf;https://entero.ru/manuals/410115/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/410117/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%B2%D1%8B%D1%82%D1%8F%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%B7%D0%BE%D0%BD%D1%82%D0%B0.pdf;https://entero.ru/manuals/410118/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%B2%D0%B5%D0%BD%D1%82%D0%B8%D0%BB%D1%8F%D1%82%D0%BE%D1%80%D0%B0%20%D0%B4%D1%8B%D0%BC%D0%BE%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F.pdf;https://entero.ru/manuals/410177/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%98%D0%B6%D0%B8%D1%86%D0%B0.pdf,1135417,,340 кг,"для холодного копчения, для горячего копчения",,,100 кг,
https://cdn.entero.ru/mp@2x/fb/4e/fb4e97920fa299233317d2589eefa25a.jpg,Шкаф коптильный Assum КШ-4,Шкаф коптильный Assum КШ-4,62421,RUB,Нет,Assum,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/225846,"<p>Коптильный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225846"">Assum КШ-4</a> </b>используется на предприятиях общественного питания и в загородных домах для горячего копчения мяса, рыбы, птицы, сыров, масла и других продуктов. Модель оснащена капиллярным терморегулятором, таймером и датчиком температуры. Все конструктивные элементы выполнены из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят лоток для жира, противень жиросборник с отверстиями, противень для опилок, 4 полки-решётки, поворотный механизм дополнительной подачи опилок и термометр-щуп. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Клапан с задвижкой для регулировки выпуска дыма </li>
<li>Термостойкая уплотнительная резинка на дверце коптильного шкафа обеспечивает герметичность </li>
<li>Плотная фиксация двери двумя защелками </li>
<li>Возможность работы в помещении с вытяжкой </li>
<li>Датчик температуры (щуп) можно использовать для контроля температуры внутри продукта </li>
<li>После приготовления остывший шкаф можно промыть из шланга </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное время приготовления: 180 мин.</li>
<li>Габариты в упаковке: 600х500х1000 мм</li>
</ul>",225846,печь-коптильня,от 30 до 110 °С,220 В,1 кВт,580 мм,460 мм,900 мм,,Китай,,,0,,65022,,35 кг,для горячего копчения,4,,,
https://cdn.entero.ru/mp@2x/66/4c/664c9aecb8ef66dfd907426f3730de6b.jpg,Шкаф коптильный Assum КШ-8,Шкаф коптильный Assum КШ-8,76888,RUB,Нет,Assum,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/225853,"<p>Коптильный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225853"">Assum КШ-8</a> </b>используется на предприятиях общественного питания и в загородных домах для горячего копчения мяса, рыбы, птицы, сыров, масла и других продуктов. Модель оснащена капиллярным терморегулятором, таймером и датчиком температуры. Все конструктивные элементы выполнены из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят лоток для жира, противень жиросборник с отверстиями, противень для опилок, 8 полок-решёток, поворотный механизм дополнительной подачи опилок и термометр-щуп. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Клапан с задвижкой для регулировки выпуска дыма </li>
<li>Термостойкая уплотнительная резинка на дверце коптильного шкафа обеспечивает герметичность </li>
<li>Плотная фиксация двери двумя защелками </li>
<li>Возможность работы в помещении с вытяжкой </li>
<li>Датчик температуры (щуп) можно использовать для контроля температуры внутри продукта </li>
<li>После приготовления остывший шкаф можно промыть из шланга </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное время приготовления: 180 мин.</li>
<li>Габариты в упаковке: 600х500х1400 мм</li>
</ul>",225853,печь-коптильня,от 30 до 110 °С,220 В,1 кВт,580 мм,460 мм,1300 мм,,Китай,,,0,,,,45 кг,для горячего копчения,8,,,
https://cdn.entero.ru/mp@2x/24/5a/245ab7711ccf36f7a58aa524dd444a86.jpg,Печь-коптильня RoboLabs SMAK,47617,128799,RUB,Нет,RoboLabs,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/37586,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37586"">RoboLabs SMAK</a></b> (корпус полностью из нержавеющей стали) на 4 колесах, с 5 решетками размером 356х356мм. Решетки устанавливаются на расстоянии 127 мм. друг от друга по высоте.</p>

<p>Печь-коптильня предназначена для горячего копчения широкого спектра продуктов.</p>

<p>Изоляционный материал по бокам и сверху уменьшает нагревание внешней поверхности. Герметизация двери достигается за счёт использования термостойкого уплотнителя. Съемные решетки и противни моются в посудомоечной машине. Внизу коптильни располагается съемный жиросборник из нержавеющей стали.</p>

<p>Процесс копчения очень прост: закладывается небольшое количество щепы, загружается продукт, дверь закрывается и устанавливается нужная температура и нужное время на механических терморегуляторе и таймере (до 12-ти часов).</p>",37586,печь-коптильня,,220 В,1.6 кВт,420 мм,480 мм,1016 мм,,Россия,,,0,https://entero.ru/manuals/502790/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,138494,,55 кг,для горячего копчения,5,,16 кг,356x356 мм
https://cdn.entero.ru/mp@2x/90/2c/902c318e25f2ba61461716520a91ddbf.jpg;https://cdn.entero.ru/mp@2x/83/b7/83b75a8cb563758126ec90c935dcc175.jpg;https://cdn.entero.ru/mp@2x/81/f3/81f3712c5c2df3329dfccf743d951f87.jpg;https://cdn.entero.ru/mp@2x/e9/de/e9de00a82c39d2b39785429176aaa94c.jpg,Коптильня Vesta Model K,Коптильня Vesta Model K,162500,RUB,Нет,Vesta,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/340643,"<p>Коптильня <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340643""><b class=""b"">Vesta Model K</b></a> используется на предприятиях общественного питания и торговли для горячего копчения мясных и рыбных продуктов. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Угольная коптильня </li>
<li>Колосниковая решётка</li>
<li>Поддон для золы </li>
<li>Поддон для жира/щепы </li>
<li>2 решётки для копчения </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Работает на углях (дровах) или (при замене жаровни на электрическую или газовую одноконфорочную плитку) на электричестве или газе</li>
<li>Конструкция коптильни выполнена по схеме ""камера в камере"", которая обеспечивает разделение рабочего объема и топки</li>
<li>Нагрев рабочей камеры происходит со всех сторон одновременно</li>
<li>Продукты сгорания от углей не смешиваются с дымом для копчения от щепочек ценных пород древесины</li>
<li>За счёт раздельного управления камерами дым ""запирается"" внутри камеры копчения на всё время приготовления продукта</li>
<li>Экономия щепы</li>
<li>Регулировка концентрации дыма</li>
<li>Независимая регулировка температуры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка решетки: 1,5 кг</li>
<li>Максимальное количество решеток: 6 шт.</li>
<li>Расстояние между решетками: 80 мм</li>
<li>Внутренние габариты камеры: 456x415x722 мм</li>
</ul>",340643,печь-коптильня,,,,550 мм,585 мм,1466 мм,,Россия,,,0,https://entero.ru/manuals/405069/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Vesta%20Model%20K.jpg;https://entero.ru/manuals/405070/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Vesta%20Model%20K.pdf;https://entero.ru/manuals/405072/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,169271,https://vk.com/video_ext.php?oid=-177656185&id=456240863&hash=43e18e70dcd2d5a3,,для горячего копчения,6,,9 кг,
https://cdn.entero.ru/mp@2x/1a/f8/1af866b1b19dbc8b749ae9c18bd96748.jpg;https://cdn.entero.ru/mp@2x/99/04/990408dee2f2ed9bd98872d128618c42.jpg;https://cdn.entero.ru/mp@2x/ef/64/ef64fb6c2f63fd39e856f5f021b5ac58.jpg,Термокамера универсальная Ижица Z115.2,Термокамера универсальная Ижица Z115.2,835000,RUB,Нет,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/342717,"<p>Универсальная термокамера <a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/342717""><b class=""b"">Ижица Z115.2</b></a> предназначена для горячего и холодного копчения мяса, рыбы, птицы, сала и сыра в коптильных цехах, в фермерских хозяйствах, на предприятиях общественного питания и торговли. Модель оснащена щеповым дымогенератором из нержавеющей стали и сенсорной панелью управления. Внутренний объем камеры выполнен из нержавеющей стали, петли и запорные механизмы - из нержавеющей стали с большим запасом прочности, уплотнение двери - из термостойкого силикона, ТЭНы - из нержавеющей стали производства оборонного завода.</p>

<p><b>Комплектация: </b></p>

<ul>
<li>Еврорама из нержавеющей стали для развески продукции</li>
<li>Комплект вешал (700 мм, 32 шт.)</li>
<li>Комплект крючков (64 шт.)</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы работы:
<ul>
<li>Копчение (горячее / холодное)</li>
<li>Варка</li>
<li>Запекание</li>
<li>Сушка</li>
</ul>
</li>
<li>Степень автоматизации: полуавтомат</li>
<li>Интуитивно понятный интерфейс</li>
<li>Возможность создания и корректировки программ</li>
<li>Контроль и отображение на дисплее всех этапов технологического процесса</li>
<li>Тонкая настройка парогенерации под разное давление в системе водоснабжения</li>
<li>Расположение ТЭНов в верхней части корпуса</li>
<li>Мощный вентилятор</li>
<li>Система регулировки скорости обдува</li>
<li>Подача дыма в камеру снизу исключает забрызгивание боковых рядов продукции черными точками дымного конденсата</li>
<li>Контроль тяги дымогенератора</li>
<li>Высокое качество дыма и минимальный расход щепы</li>
<li>Минимальный выброс дыма в атмосферу</li>
<li>Удаление излишков воды из камеры непосредственно в систему канализации, а также сбор остатков воды в поддон при открытии двери</li>
<li>Полностью герметичный внутренний объем </li>
<li>Температурные датчики с платиновыми сердечниками выдерживают любые температурные пороги</li>
<li>Библиотека пошаговых рецептов</li>
<li>Длительный срок службы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность воздухообмена: до 2500 м3/ч</li>
<li>Среднее энергопотребление: 4 кВт/ч</li>
</ul>",342717,печь-коптильня,,380 В,9 кВт,1510 мм,1090 мм,1880 мм,300 кг,Россия,1,1500x1200x2100 мм,0,https://entero.ru/manuals/410494/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%98%D0%B6%D0%B8%D1%86%D0%B0.pdf,907609,,300 кг,"для холодного копчения, для горячего копчения",,,100 кг,
https://cdn.entero.ru/mp@2x/71/6f/716f72acc21e760e04c19ad223615498.jpg;https://cdn.entero.ru/mp@2x/c6/3e/c63ee602139bfcebfdb52a772a79f546.jpg;https://cdn.entero.ru/mp@2x/ce/71/ce71979979cfdb40eda5eb318308e1a9.jpg;https://cdn.entero.ru/mp@2x/fd/11/fd11facb160e241aad21c176d770087e.jpg,Гриль-коптильня Vesta TEXAS BBQ,Гриль-коптильня Vesta TEXAS BBQ,92442,RUB,Нет,Vesta,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/340722,"<p>Гриль-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340722"">Vesta TEXAS BBQ</a></b> предназначен для горячего и полугорячего копчения, прямого и косвенного гриллинга продуктов и полуфабрикатов, для запекания больших кусков мяса, а также приготовления плова на предприятиях общественного питания и торговли, в частных и загородных домах. Модель оснащена дополнительными рабочими столиками по бокам корпуса. Корпус и колосниковая решетка выполнены из котельной стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Поддон для сбора жира в камере копчения,</li>
<li>Решётка для копчения/барбекю</li>
<li>Поддон для золы</li>
<li>Колосниковая решётка (для древесного угля)</li>
<li>Подставка под казан на 5 л </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>4 в 1: гриль, барбекю, коптильня, печь для казана</li>
<li>Профессианальная система регулирования температуры: возмоность поддерживать температуру с точностью до 2°C</li>
<li>Возмоность установки колосниковой решетки на разной высоте</li>
<li>Съемный ящик для золы, схемные лотки в камере копчения/барбекю: легкая очистка</li>
<li>Большие колеса и выдвижная ручка: легкость транспортировки</li>
<li>Не нагревающиеся ручки для открывания крышек камер</li>
<li>Съемные кронштейны рабочих столиков с прорезями для подвешивания инструментов</li>
</ul>",340722,печь-коптильня,,,,1390 мм,770 мм,1368 мм,,Россия,,,0,https://entero.ru/manuals/405176/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Vesta%20TEXAS%20BBQ.jpg;https://entero.ru/manuals/405190/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vesta%20TEXAS%20BBQ.pdf;https://entero.ru/manuals/405193/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5%20Vesta%20TEXAS%20BBQ.pdf,98343,https://vk.com/video_ext.php?oid=-177656185&id=456240864&hash=dccfb957d120bda0;https://vk.com/video_ext.php?oid=-177656185&id=456240871&hash=011743a8cb904d40,91 кг,для горячего копчения,,,,
